,ag_id,ag_name,ag_long,ag_lat,ag_flux_peak,classification,Vc,nNL,tau,dtau,hcop_D,hcop_NG,hcop_Tastar,hcop_dTastar,hcop_Vlsr,hcop_dVlsr,hcop_fwhm,hcop_dfwhm,hcop_ii,hcop_dii,hcop_signoise,hcop_Pfit,hcop_iisnr,hcop_Rf,hcop_HR,hcop_Rs,hnc_D,hnc_NG,hnc_Tastar,hnc_dTastar,hnc_Vlsr,hnc_dVlsr,hnc_fwhm,hnc_dfwhm,hnc_ii,hnc_dii,hnc_signoise,hnc_Pfit,hnc_iisnr,hnc_Rf,hnc_HR,hnc_Rs,n2hp_D,n2hp_NG,n2hp_Tastar,n2hp_dTastar,n2hp_Vlsr,n2hp_dVlsr,n2hp_fwhm,n2hp_dfwhm,n2hp_ii,n2hp_dii,n2hp_signoise,n2hp_Pfit,n2hp_iisnr,n2hp_Rf,n2hp_HR,n2hp_Rs,hcn_D,hcn_NG,hcn_Tastar,hcn_dTastar,hcn_Vlsr,hcn_dVlsr,hcn_fwhm,hcn_dfwhm,hcn_ii,hcn_dii,hcn_signoise,hcn_Pfit,hcn_iisnr,hcn_Rf,hcn_HR,hcn_Rs,h13cop_D,h13cop_NG,h13cop_Tastar,h13cop_dTastar,h13cop_Vlsr,h13cop_dVlsr,h13cop_fwhm,h13cop_dfwhm,h13cop_ii,h13cop_dii,h13cop_signoise,h13cop_Pfit,h13cop_iisnr,h13cop_Rf,h13cop_HR,h13cop_Rs,hn13c_D,hn13c_NG,hn13c_Tastar,hn13c_dTastar,hn13c_Vlsr,hn13c_dVlsr,hn13c_fwhm,hn13c_dfwhm,hn13c_ii,hn13c_dii,hn13c_signoise,hn13c_Pfit,hn13c_iisnr,hn13c_Rf,hn13c_HR,hn13c_Rs,13cs_D,13cs_NG,13cs_Tastar,13cs_dTastar,13cs_Vlsr,13cs_dVlsr,13cs_fwhm,13cs_dfwhm,13cs_ii,13cs_dii,13cs_signoise,13cs_Pfit,13cs_iisnr,13cs_Rf,13cs_HR,13cs_Rs,13c34s_D,13c34s_NG,13c34s_Tastar,13c34s_dTastar,13c34s_Vlsr,13c34s_dVlsr,13c34s_fwhm,13c34s_dfwhm,13c34s_ii,13c34s_dii,13c34s_signoise,13c34s_Pfit,13c34s_iisnr,13c34s_Rf,13c34s_HR,13c34s_Rs,hc13ccn_D,hc13ccn_NG,hc13ccn_Tastar,hc13ccn_dTastar,hc13ccn_Vlsr,hc13ccn_dVlsr,hc13ccn_fwhm,hc13ccn_dfwhm,hc13ccn_ii,hc13ccn_dii,hc13ccn_signoise,hc13ccn_Pfit,hc13ccn_iisnr,hc13ccn_Rf,hc13ccn_HR,hc13ccn_Rs,hnco404_D,hnco404_NG,hnco404_Tastar,hnco404_dTastar,hnco404_Vlsr,hnco404_dVlsr,hnco404_fwhm,hnco404_dfwhm,hnco404_ii,hnco404_dii,hnco404_signoise,hnco404_Pfit,hnco404_iisnr,hnco404_Rf,hnco404_HR,hnco404_Rs,ch3cn_D,ch3cn_NG,ch3cn_Tastar,ch3cn_dTastar,ch3cn_Vlsr,ch3cn_dVlsr,ch3cn_fwhm,ch3cn_dfwhm,ch3cn_ii,ch3cn_dii,ch3cn_signoise,ch3cn_Pfit,ch3cn_iisnr,ch3cn_Rf,ch3cn_HR,ch3cn_Rs,hc3n_D,hc3n_NG,hc3n_Tastar,hc3n_dTastar,hc3n_Vlsr,hc3n_dVlsr,hc3n_fwhm,hc3n_dfwhm,hc3n_ii,hc3n_dii,hc3n_signoise,hc3n_Pfit,hc3n_iisnr,hc3n_Rf,hc3n_HR,hc3n_Rs,hnco413_D,hnco413_NG,hnco413_Tastar,hnco413_dTastar,hnco413_Vlsr,hnco413_dVlsr,hnco413_fwhm,hnco413_dfwhm,hnco413_ii,hnco413_dii,hnco413_signoise,hnco413_Pfit,hnco413_iisnr,hnco413_Rf,hnco413_HR,hnco413_Rs,c2h_D,c2h_NG,c2h_Tastar,c2h_dTastar,c2h_Vlsr,c2h_dVlsr,c2h_fwhm,c2h_dfwhm,c2h_ii,c2h_dii,c2h_signoise,c2h_Pfit,c2h_iisnr,c2h_Rf,c2h_HR,c2h_Rs,sio_D,sio_NG,sio_Tastar,sio_dTastar,sio_Vlsr,sio_dVlsr,sio_fwhm,sio_dfwhm,sio_ii,sio_dii,sio_signoise,sio_Pfit,sio_iisnr,sio_Rf,sio_HR,sio_Rs,h41a_D,h41a_NG,h41a_Tastar,h41a_dTastar,h41a_Vlsr,h41a_dVlsr,h41a_fwhm,h41a_dfwhm,h41a_ii,h41a_dii,h41a_signoise,h41a_Pfit,h41a_iisnr,h41a_Rf,h41a_HR,h41a_Rs
137,AG0138,AGAL000.666-00.034_B,0.666,-0.034,137.6,A,47.96,14,0.0,0.0,Y,1,1.381,0.021,45.656,0.09,12.104,0.212,17.834,0.312,0.154,0.115,57.204,1.744,1,1896,Y,1,1.91,0.026,49.547,0.065,9.962,0.153,20.272,0.329,0.171,0.0,61.651,2.889,1,718,Y,1,0.804,0.021,48.16,0.153,12.211,0.361,10.486,0.309,0.155,0.633,33.929,1.065,1,154,Y,1,1.461,0.022,44.536,0.085,11.648,0.2,18.119,0.371,0.157,0.0,48.816,2.747,1,1339,Y,1,0.635,0.027,51.028,0.166,8.063,0.391,5.5,0.264,0.157,0.0,20.83,2.196,1,246,Y,1,0.412,0.027,51.931,0.258,7.813,0.613,3.488,0.25,0.159,0.112,13.976,1.731,1,191,Y,1,0.477,0.022,54.507,0.259,10.784,0.621,5.675,0.26,0.16,0.551,21.838,0.876,0,28,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,661,Y,1,0.139,0.02,60.862,1.065,11.885,2.859,1.933,0.245,0.155,0.901,7.903,1.087,0,963,Y,1,2.069,0.021,64.571,0.114,22.997,0.269,51.042,0.56,0.21,0.922,91.166,1.522,0,61,Y,1,0.25,0.025,53.915,0.468,7.893,1.122,2.135,0.231,0.157,0.044,9.237,1.486,1,282,Y,1,0.265,0.032,55.823,0.323,5.305,0.76,1.501,0.208,0.156,0.214,7.215,1.552,1,315,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Y,1,0.547,0.02,52.12,0.25,14.191,0.589,8.36,0.319,0.155,0.002,26.176,1.584,0,608,Y,1,0.84,0.023,49.167,0.153,11.26,0.365,10.256,0.327,0.161,0.0,31.372,1.922,1,189,Y,1,0.193,0.014,61.411,1.178,25.893,3.418,6.103,0.356,0.16,0.037,17.15,1.199,0,100
1263,AG1264,AGAL322.382+00.532_S,322.382,0.532,0.78,A,-53.98,3,1.23,1.47,Y,1,0.292,0.031,-54.204,0.387,7.33,0.913,2.338,0.262,0.179,0.694,8.923,0.682,0,35,Y,1,0.328,0.062,-53.618,0.299,3.274,0.703,1.117,0.274,0.235,1.0,4.081,0.732,0,5,Y,3,0.412,0.051,-54.097,0.12,2.387,0.278,2.154,0.284,0.185,0.67,7.582,1.076,0,29,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22
1256,AG1257,AGAL321.926-00.017_S,321.926,-0.017,0.94,A,-32.3,6,0.86,0.81,Y,1,0.926,0.036,-32.359,0.076,3.974,0.179,4.009,0.214,0.152,0.539,18.748,1.315,0,94,Y,1,0.74,0.039,-32.152,0.083,3.186,0.197,2.553,0.177,0.149,0.071,14.444,0.962,0,45,Y,3,0.426,0.04,-32.421,0.122,2.86,0.266,2.536,0.252,0.156,0.049,10.063,0.878,0,27,Y,3,0.677,0.039,-32.37,0.096,3.241,0.183,4.262,0.25,0.153,0.456,17.076,1.15,0,66,M,1,0.254,0.057,-32.798,0.183,1.574,0.432,0.492,0.16,0.152,0.772,3.067,0.566,0,63,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Y,3,0.494,0.053,-32.526,0.086,1.744,0.202,1.551,0.225,0.157,0.643,6.902,1.029,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13
1273,AG1274,AGAL323.741-00.264_S,323.741,-0.264,10.3,A,-49.04,9,0.0,0.0,Y,1,1.521,0.034,-48.343,0.039,3.545,0.092,7.868,0.25,0.134,0.0,31.444,2.818,1,106,Y,1,0.955,0.03,-49.315,0.063,4.139,0.149,4.311,0.166,0.128,0.244,25.934,1.242,0,57,Y,3,1.068,0.032,-49.795,0.042,3.13,0.087,6.512,0.208,0.128,0.076,31.307,1.084,0,37,Y,3,0.762,0.035,-48.639,0.126,4.884,0.184,10.53,0.28,0.135,0.0,37.653,2.685,1,134,M,1,0.282,0.041,-49.492,0.184,2.33,0.433,0.7,0.177,0.134,0.123,3.952,1.348,0,44,M,1,0.146,0.032,-49.051,0.452,3.914,1.065,0.586,0.171,0.135,0.641,3.43,0.729,0,54,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,Y,1,0.382,0.037,-49.735,0.129,2.719,0.304,1.396,0.154,0.129,0.944,9.081,1.06,0,18,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,Y,3,0.502,0.038,-49.754,0.097,2.679,0.229,1.84,0.212,0.132,0.911,8.677,1.176,0,46,Y,1,0.17,0.024,-50.172,0.522,6.948,1.244,1.245,0.186,0.135,0.912,6.684,0.781,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42
1295,AG1296,AGAL326.267-00.486_S,326.267,-0.486,1.5,A,-60.36,5,0.31,0.42,Y,1,1.636,0.04,-60.265,0.032,2.604,0.074,5.094,0.18,0.136,0.0,28.241,2.18,1,72,Y,1,1.07,0.042,-60.384,0.045,2.338,0.107,2.869,0.17,0.137,0.925,16.917,1.138,0,13,Y,3,0.792,0.038,-60.515,0.048,2.286,0.112,3.562,0.202,0.132,0.507,17.602,1.01,0,27,Y,3,0.756,0.036,-60.375,0.063,2.787,0.127,4.225,0.22,0.135,0.018,19.225,1.081,0,37,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,M,3,0.2,0.038,-60.582,0.311,3.316,0.732,0.855,0.257,0.146,0.738,3.326,1.106,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32
135,AG0136,AGAL000.654-00.041_S,0.654,-0.041,50.49,A,80.21,11,0.0,0.0,Y,2,1.572,0.01,80.343,0.189,48.616,0.457,79.552,0.611,0.154,0.0,130.126,3.637,1,610,Y,2,1.363,0.012,67.725,0.358,43.304,1.016,52.482,0.564,0.174,0.0,93.059,4.962,1,360,Y,2,1.602,0.011,63.826,0.24,38.09,0.633,53.508,0.501,0.159,0.0,106.7,5.745,1,426,Y,1,1.488,0.01,77.185,0.182,48.366,0.461,83.699,0.516,0.155,0.0,162.165,6.294,1,900,Y,1,0.294,0.024,71.573,0.442,10.038,1.052,3.305,0.277,0.164,0.651,11.909,1.081,0,154,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,260,Y,1,0.298,0.016,58.542,0.684,19.928,1.89,7.048,0.333,0.167,0.715,21.177,1.223,0,39,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,616,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,808,Y,2,2.068,0.023,60.264,0.114,20.88,0.27,47.234,0.603,0.218,0.984,78.349,1.589,1,159,Y,1,0.866,0.013,58.968,0.243,28.126,0.621,27.831,0.396,0.158,0.0,70.309,2.785,0,407,Y,1,3.214,0.016,58.268,0.048,19.321,0.114,66.886,0.357,0.152,0.0,187.39,4.86,0,308,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,3,0.675,0.016,57.743,0.297,24.98,0.633,27.791,1.573,0.164,0.0,17.662,2.539,1,830,Y,2,0.493,0.014,56.181,0.45,29.567,1.137,17.834,0.502,0.162,0.0,35.524,2.4,1,159,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,176
3430,AG3431,AGAL358.808-00.086_S,358.808,-0.086,1.02,A,-54.35,2,0.9,0.79,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,219,Y,1,0.361,0.038,-54.399,0.223,4.231,0.525,1.757,0.209,0.166,0.986,8.393,0.997,0,19,Y,3,0.396,0.034,-54.314,0.119,3.153,0.242,2.671,0.236,0.142,0.382,11.316,0.862,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,439,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31
3413,AG3414,AGAL358.714-00.141_S,358.714,-0.141,0.58,A,12.87,4,0.24,0.52,Y,1,0.319,0.037,15.047,0.147,2.433,0.346,0.656,0.133,0.123,0.639,4.916,1.121,0,183,M,1,0.181,0.04,13.803,0.307,2.907,0.723,0.57,0.155,0.144,0.982,3.675,0.789,0,13,Y,3,0.381,0.026,11.009,0.198,4.988,0.325,3.684,0.201,0.12,0.155,18.288,1.161,0,32,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,207,M,1,0.15,0.032,9.973,0.413,3.921,0.974,0.525,0.172,0.131,0.793,3.059,0.901,0,28,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32
1275,AG1276,AGAL323.799+00.017_S,323.799,0.017,1.43,A,-58.85,5,2.52,1.92,Y,1,0.419,0.025,-59.064,0.148,5.071,0.349,2.344,0.171,0.119,0.003,13.72,1.529,1,94,Y,1,0.296,0.029,-58.909,0.202,4.115,0.475,1.24,0.16,0.125,0.714,7.746,1.005,0,17,Y,3,0.231,0.028,-58.347,0.14,2.827,0.303,1.656,0.189,0.115,0.096,8.753,1.211,0,43,Y,3,0.246,0.028,-59.053,0.333,4.711,0.537,2.2,0.195,0.12,0.389,11.288,1.207,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,65,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Y,1,0.141,0.026,-58.4,0.478,5.5,1.126,0.98,0.174,0.126,0.859,5.619,0.891,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62
1288,AG1289,AGAL324.718+00.341_S,324.718,0.341,3.66,A,-52.47,6,0.0,0.0,Y,1,0.542,0.029,-52.707,0.093,3.455,0.218,2.16,0.151,0.115,0.516,14.331,0.981,0,63,Y,1,0.483,0.028,-52.418,0.104,3.574,0.244,1.975,0.154,0.114,0.795,12.861,0.962,0,24,Y,3,0.558,0.032,-52.28,0.067,2.547,0.153,2.846,0.194,0.118,0.699,14.701,1.003,0,12,Y,3,0.277,0.031,-52.749,0.155,2.908,0.293,1.886,0.193,0.119,0.359,9.768,1.131,0,48,M,1,0.125,0.026,-51.964,0.507,4.488,1.194,0.535,0.152,0.119,0.161,3.517,0.909,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,65,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,456,M,3,0.148,0.034,-52.361,0.231,2.162,0.545,0.629,0.191,0.117,0.45,3.285,1.109,0,53,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13
1269,AG1270,AGAL323.192+00.154_S,323.192,0.154,0.97,A,-65.63,5,0.04,0.45,Y,1,1.446,0.032,-65.679,0.037,3.409,0.088,5.515,0.18,0.124,0.056,30.671,1.211,0,47,Y,1,0.968,0.044,-65.623,0.063,2.854,0.149,3.069,0.195,0.157,1.0,15.707,0.503,0,5,Y,3,0.634,0.035,-65.513,0.058,2.42,0.135,2.933,0.201,0.125,0.496,14.623,0.936,0,20,Y,3,0.648,0.03,-66.007,0.099,3.887,0.168,5.166,0.218,0.126,0.166,23.732,0.982,0,34,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Y,3,0.297,0.032,-65.915,0.167,3.299,0.393,1.557,0.24,0.127,0.553,6.498,1.04,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36
1299,AG1300,AGAL326.341+00.504_S,326.341,0.504,1.03,A,-95.01,4,0.0,0.0,Y,2,0.499,0.058,-94.912,9.963,4.117,0.206,1.305,0.144,0.111,0.006,9.034,1.03,0,53,Y,1,0.306,0.026,-94.768,0.169,3.903,0.399,1.277,0.14,0.112,0.011,9.149,0.869,0,23,Y,3,0.427,0.029,-94.33,0.094,3.025,0.201,2.268,0.173,0.112,0.09,13.139,1.3,0,38,Y,3,0.177,0.028,-95.226,0.286,3.769,0.467,1.632,0.194,0.116,0.684,8.399,0.826,0,65,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35
